year,ntd_per_usd
1960,40
1961,40
1962,40
1963,40
1964,40
1965,40
1966,40
1967,40
1968,40
1969,40
1970,40
1971,40
1972,40
1973,38
1974,38
1975,38
1976,38
1977,38
1978,36.986
1979,36.02
1980,36
1981,36.84
1982,39.11
1983,40.06
1984,39.6
1985,39.85
1986,37.82
1987,31.77
1988,28.59
1989,26.4
1990,26.89
1991,26.809
1992,25.163
1993,26.382
1994,26.455
1995,26.476
1996,27.458
1997,28.662
1998,33.445
1999,32.266
2000,31.225
2001,33.8
2002,34.575
2003,34.418
2004,33.422
2005,32.167
2006,32.531
2007,32.842
2008,31.517
2009,33.049
2010,31.642
2011,29.464
2012,29.614
2013,29.77
2014,30.368
2015,31.898
2016,32.318
2017,30.439
2018,30.156
2019,30.925
2020,29.578
