year,metric,source,value_type,value
1951,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1351
1952,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1979
1953,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2726
1954,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3409
1955,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3502
1956,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),4729
1957,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),5493
1958,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),7062
1959,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),9000
1960,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),10869
1961,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),11964
1962,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),12358
1963,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),14230
1964,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),15978
1965,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),20418
1966,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),25614
1967,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),31891
1968,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),39569
1969,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),46318
1970,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),52301
1971,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),64959
1972,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),79371
1973,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),107632
1974,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),163354
1975,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),191565
1976,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),205808
1977,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),224527
1978,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),268033
1979,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),350057
1980,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),472346
1981,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),512534
1982,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),519462
1983,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),518326
1984,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),548398
1985,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),528723
1986,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),592881
1987,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),713899
1988,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),843082
1989,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),990079
1990,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1109144
1991,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1237055
1992,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1489340
1993,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1713213
1994,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),1840862
1995,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2025079
1996,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2030515
1997,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2229399
1998,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2479166
1999,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2542407
2000,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2718886
2001,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2234956
2002,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2281998
2003,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2362420
2004,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2851228
2005,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2922677
2006,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3062330
2007,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3219358
2008,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3049254
2009,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),2763072
2010,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3330074
2011,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3333162
2012,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3313753
2013,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3465988
2014,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3630558
2015,Gross Fixed Capital Formation,Combined,Nominal Prices (Millions of NTD),3663758
