Year,Month,Total Labor Shortage
2005,Feb,162499
2005,Aug,165155
2006,Feb,166197
2006,Aug,173960
2007,Feb,176623
2007,Aug,171436
2008,Feb,182352
2008,Aug,146226
2009,Feb,117264
2009,Aug,135515
2010,Feb,161809
2010,Aug,193591
2011,Feb,234860
2011,Aug,192571
2012,Feb,203374
2012,Aug,178836
2013,Feb,188783
2013,Aug,190834
2014,Feb,215638
2014,Aug,241493
2015,Feb,242492
2015,Aug,203216
2016,Feb,209873
2016,Aug,213375
2017,Feb,238574
2017,Aug,225242
2018,Feb,250308
2018,Aug,220669
2019,Feb,232581
2019,Aug,221441
