year,month,Total Not in Labor Force,Intend and be available  to work  but not seeking,Attending school or rebrushing to take entrance exams,Housekeeping,Old age & disable,Others,
1978,Ave.,4 448, 67,1 150,2 372, 637, 222,
1978,Jan.,4 420, 74,1 152,2 346, 594, 254,
1978,Feb.,4 468, 75,1 162,2 387, 584, 259,
1978,Mar.,4 531, 79,1 216,2 364, 583, 288,
1978,Apr.,4 488, 70,1 252,2 375, 588, 203,
1978,May,4 485, 61,1 240,2 364, 650, 170,
1978,June,4 432, 53,1 213,2 324, 655, 186,
1978,July,4 210, 72,1 063,2 233, 629, 213,
1978,Aug.,4 249, 73,1 004,2 287, 661, 225,
1978,Sept.,4 432, 62,1 078,2 381, 685, 226,
1978,Oct.,4 497, 62,1 104,2 437, 677, 216,
1978,Nov.,4 550, 59,1 142,2 455, 675, 219,
1978,Dec.,4 610, 60,1 172,2 507, 662, 210,
1979,Ave.,4 577, 62,1 207,2 432, 668, 208,
1979,Jan.,4 488, 70,1 181,2 378, 643, 216,
1979,Feb.,4 480, 61,1 214,2 341, 650, 214,
1979,Mar.,4 620, 53,1 295,2 416, 651, 206,
1979,Apr.,4 621, 54,1 309,2 422, 633, 204,
1979,May,4 658, 53,1 308,2 431, 665, 202,
1979,June,4 613, 48,1 331,2 342, 675, 218,
1979,July,4 385, 67,1 135,2 325, 661, 196,
1979,Aug.,4 474, 75,1 081,2 451, 668, 198,
1979,Sept.,4 578, 80,1 118,2 498, 683, 200,
1979,Oct.,4 654, 74,1 146,2 528, 692, 215,
1979,Nov.,4 702, 65,1 165,2 554, 694, 223,
1979,Dec.,4 651, 44,1 203,2 496, 699, 208,
1980,Ave.,4 749, 55,1 269,2 473, 708, 244,
1980,Jan.,4 637, 46,1 279,2 393, 703, 216,
1980,Feb.,4 681, 58,1 265,2 448, 699, 211,
1980,Mar.,4 837, 53,1 343,2 511, 682, 248,
1980,Apr.,4 846, 46,1 356,2 513, 701, 229,
1980,May,4 780, 41,1 382,2 412, 711, 234,
1980,June,4 744, 61,1 368,2 346, 700, 270,
1980,July,4 555, 73,1 164,2 373, 695, 250,
1980,Aug.,4 612, 67,1 142,2 453, 717, 233,
1980,Sept.,4 805, 63,1 205,2 564, 726, 247,
1980,Oct.,4 850, 50,1 220,2 610, 713, 256,
1980,Nov.,4 863, 57,1 252,2 577, 719, 259,
1980,Dec.,4 773, 48,1 248,2 476, 730, 271,
1981,Ave.,4 934, 60,1 303,2 575, 756, 241,
1981,Jan.,4 770, 46,1 245,2 499, 738, 241,
1981,Feb.,4 876, 60,1 296,2 574, 718, 228,
1981,Mar.,4 973, 57,1 364,2 600, 710, 242,
1981,Apr.,5 067, 50,1 391,2 638, 742, 246,
1981,May,5 023, 36,1 399,2 580, 767, 241,
1981,June,4 887, 53,1 385,2 460, 762, 227,
1981,July,4 759, 71,1 212,2 498, 750, 228,
1981,Aug.,4 878, 69,1 193,2 613, 765, 239,
1981,Sept.,5 021, 73,1 283,2 638, 764, 263,
1981,Oct.,5 009, 74,1 292,2 624, 760, 259,
1981,Nov.,4 972, 69,1 304,2 589, 775, 236,
1981,Dec.,4 972, 57,1 278,2 583, 814, 239,
1982,Ave.,5 054, 68,1 337,2 587, 782, 280,
1982,Jan.,4 950, 57,1 273,2 569, 806, 245,
1982,Feb.,5 069, 51,1 345,2 632, 775, 267,
1982,Mar.,5 185, 55,1 418,2 653, 779, 279,
1982,Apr.,5 231, 60,1 436,2 683, 770, 282,
1982,May,5 185, 53,1 435,2 641, 800, 255,
1982,June,5 054, 66,1 430,2 520, 785, 253,
1982,July,4 971, 91,1 295,2 544, 784, 257,
1982,Aug.,5 020, 83,1 269,2 598, 788, 282,
1982,Sept.,5 046, 78,1 290,2 587, 780, 310,
1982,Oct.,5 022, 82,1 282,2 583, 766, 310,
1982,Nov.,4 931, 77,1 291,2 486, 763, 314,
1982,Dec.,4 979, 66,1 277,2 544, 790, 302,
1983,Ave.,4 996, 77,1 337,2 482, 805, 296,
1983,Jan.,4 871, 83,1 274,2 449, 791, 274,
1983,Feb.,4 990, 85,1 345,2 498, 772, 290,
1983,Mar.,5 111, 92,1 393,2 546, 799, 281,
1983,Apr.,5 188, 87,1 433,2 555, 804, 309,
1983,May,5 154, 78,1 430,2 528, 820, 298,
1983,June,5 058, 75,1 415,2 457, 812, 300,
1983,July,4 918, 79,1 252,2 461, 809, 316,
1983,Aug.,4 895, 74,1 229,2 473, 817, 303,
1983,Sept.,5 008, 74,1 291,2 529, 806, 308,
1983,Oct.,4 958, 70,1 308,2 496, 790, 294,
1983,Nov.,4 854, 66,1 337,2 365, 808, 278,
1983,Dec.,4 951, 60,1 336,2 430, 826, 298,
1984,Ave.,5 052, 77,1 383,2 452, 842, 298,
1984,Jan.,4 890, 73,1 320,2 380, 819, 297,
1984,Feb.,4 971, 86,1 376,2 404, 805, 300,
1984,Mar.,5 085, 73,1 447,2 467, 805, 294,
1984,Apr.,5 175, 82,1 478,2 482, 835, 297,
1984,May,5 140, 72,1 481,2 441, 861, 285,
1984,June,5 044, 88,1 449,2 360, 871, 276,
1984,July,4 937, 93,1 266,2 423, 864, 292,
1984,Aug.,5 012, 87,1 282,2 496, 835, 312,
1984,Sept.,5 082, 79,1 326,2 537, 837, 302,
1984,Oct.,5 101, 73,1 350,2 539, 844, 295,
1984,Nov.,5 103, 59,1 411,2 470, 850, 313,
1984,Dec.,5 089, 59,1 405,2 430, 878, 318,
1985,Ave.,5 210, 86,1 426,2 491, 885, 322,
1985,Jan.,5 008, 71,1 401,2 352, 874, 311,
1985,Feb.,5 072, 81,1 395,2 432, 852, 311,
1985,Mar.,5 248, 85,1 471,2 509, 862, 322,
1985,Apr.,5 275, 76,1 480,2 515, 877, 328,
1985,May,5 257, 68,1 511,2 473, 903, 302,
1985,June,5 217, 77,1 517,2 408, 906, 309,
1985,July,5 123, 90,1 339,2 476, 895, 323,
1985,Aug.,5 231, 109,1 341,2 555, 884, 342,
1985,Sept.,5 303, 108,1 388,2 579, 890, 339,
1985,Oct.,5 275, 101,1 387,2 570, 894, 324,
1985,Nov.,5 293, 90,1 442,2 546, 877, 337,
1985,Dec.,5 216, 82,1 438,2 475, 904, 317,
1986,Ave.,5 216, 90,1 448,2 418, 914, 346,
1986,Jan.,5 105, 90,1 451,2 363, 889, 311,
1986,Feb.,5 218, 95,1 484,2 419, 872, 347,
1986,Mar.,5 328, 92,1 516,2 477, 886, 358,
1986,Apr.,5 351, 82,1 544,2 481, 896, 349,
1986,May,5 324, 84,1 538,2 437, 933, 332,
1986,June,5 225, 98,1 502,2 341, 946, 337,
1986,July,5 061, 84,1 342,2 348, 933, 354,
1986,Aug.,5 169, 92,1 348,2 446, 918, 365,
1986,Sept.,5 253, 103,1 404,2 451, 915, 380,
1986,Oct.,5 181, 96,1 400,2 414, 920, 351,
