Year,Month,Total,New  jobseekers,Experienced jobseekers
1978,Ave.,106,59,47
1978,Jan.,125,82,44
1978,Feb.,114,66,48
1978,Mar.,108,55,54
1978,Apr.,98,50,48
1978,May,106,47,59
1978,June,104,47,57
1978,July,121,78,43
1978,Aug.,123,78,45
1978,Sept.,121,68,53
1978,Oct.,97,52,45
1978,Nov.,71,41,30
1978,Dec.,76,41,35
1979,Ave.,83,45,38
1979,Jan.,83,44,40
1979,Feb.,85,41,44
1979,Mar.,76,38,38
1979,Apr.,70,31,39
1979,May,75,26,50
1979,June,73,33,40
1979,July,104,68,35
1979,Aug.,103,66,36
1979,Sept.,93,53,40
1979,Oct.,76,46,31
1979,Nov.,78,46,32
1979,Dec.,81,43,38
1980,Ave.,82,44,38
1980,Jan.,63,32,32
1980,Feb.,73,35,38
1980,Mar.,68,34,34
1980,Apr.,60,28,32
1980,May,78,28,50
1980,June,86,50,36
1980,July,104,69,35
1980,Aug.,110,67,43
1980,Sept.,90,57,33
1980,Oct.,83,50,33
1980,Nov.,79,38,41
1980,Dec.,84,39,45
1981,Ave.,92,47,44
1981,Jan.,65,33,32
1981,Feb.,95,41,54
1981,Mar.,72,31,41
1981,Apr.,57,27,30
1981,May,67,25,42
1981,June,90,43,47
1981,July,103,66,37
1981,Aug.,123,74,49
1981,Sept.,114,70,44
1981,Oct.,118,65,53
1981,Nov.,107,51,56
1981,Dec.,91,41,50
1982,Ave.,149,61,88
1982,Jan.,94,41,53
1982,Feb.,111,44,67
1982,Mar.,89,34,56
1982,Apr.,101,32,68
1982,May,134,44,91
1982,June,136,54,81
1982,July,155,85,71
1982,Aug.,186,91,95
1982,Sept.,188,90,98
1982,Oct.,195,81,114
1982,Nov.,194,73,121
1982,Dec.,199,65,135
1983,Ave.,197,73,124
1983,Jan.,198,65,133
1983,Feb.,247,63,184
1983,Mar.,205,58,147
1983,Apr.,183,54,129
1983,May,171,45,126
1983,June,180,70,110
1983,July,212,101,111
1983,Aug.,215,102,113
1983,Sept.,198,95,103
1983,Oct.,206,92,114
1983,Nov.,176,71,105
1983,Dec.,170,56,114
1984,Ave.,183,70,113
1984,Jan.,177,59,118
1984,Feb.,206,62,143
1984,Mar.,154,56,98
1984,Apr.,146,50,97
1984,May,156,43,112
1984,June,167,61,105
1984,July,192,96,95
1984,Aug.,228,102,126
1984,Sept.,228,102,125
1984,Oct.,209,79,130
1984,Nov.,170,70,100
1984,Dec.,168,60,108
1985,Ave.,222,75,148
1985,Jan.,156,53,103
1985,Feb.,165,56,109
1985,Mar.,187,54,134
1985,Apr.,172,50,122
1985,May,194,46,149
1985,June,193,57,136
1985,July,267,105,161
1985,Aug.,315,117,197
1985,Sept.,276,106,170
1985,Oct.,265,87,178
1985,Nov.,252,84,168
1985,Dec.,227,81,146
1986,Ave.,212,73,138
1986,Jan.,200,64,137
1986,Feb.,261,66,196
1986,Mar.,216,62,154
1986,Apr.,182,52,130
1986,May,182,49,133
1986,June,215,75,140
1986,July,237,99,138
1986,Aug.,250,107,142
1986,Sept.,236,93,143
1986,Oct.,211,82,129
1986,Nov.,188,68,120
1986,Dec.,162,64,98
1987,Ave.,161,58,103
1987,Jan.,158,60,98
1987,Feb.,193,59,134
1987,Mar.,163,48,115
1987,Apr.,137,40,97
1987,May,156,48,109
1987,June,143,56,87
1987,July,167,74,93
1987,Aug.,172,68,105
1987,Sept.,170,69,101
1987,Oct.,166,68,98
1987,Nov.,153,53,100
1987,Dec.,151,51,99
1988,Ave.,139,51,88
