year,ma_number,currency,ma_value,Source
1986,2,USD,0.01661,Thompson Financials
1987,1,USD,0.029,Thompson Financials
1988,9,USD,0.05914,Thompson Financials
1989,14,USD,1.1256,Thompson Financials
1990,34,USD,2.31616,Thompson Financials
1991,23,USD,2.23153,Thompson Financials
1992,18,USD,0.52352,Thompson Financials
1993,14,USD,0.0676,Thompson Financials
1994,25,USD,0.15089,Thompson Financials
1995,41,USD,0.65671,Thompson Financials
1996,59,USD,0.92221,Thompson Financials
1997,55,USD,1.68684,Thompson Financials
1998,96,USD,3.50841,Thompson Financials
1999,129,USD,4.88501,Thompson Financials
2000,185,USD,14.69144,Thompson Financials
2001,178,USD,12.62524,Thompson Financials
2002,189,USD,17.43528,Thompson Financials
2003,175,USD,7.21214,Thompson Financials
2004,158,USD,2.89936,Thompson Financials
2005,192,USD,14.41594,Thompson Financials
2006,257,USD,22.38204,Thompson Financials
2007,194,USD,14.01429,Thompson Financials
2008,242,USD,8.40027,Thompson Financials
2009,241,USD,22.0316,Thompson Financials
2010,275,USD,8.85744,Thompson Financials
2011,178,USD,11.6978,Thompson Financials
2012,232,USD,16.60505,Thompson Financials
2013,230,USD,7.13912,Thompson Financials
2014,290,USD,10.54294,Thompson Financials
2015,373,USD,25.29338,Thompson Financials
2016,328,USD,21.51941,Thompson Financials
2017,389,USD,14.96952,Thompson Financials
2018,314,USD,18.04,Thompson Financials
2019,171,USD,6.96,Thompson Financials
2020,99,USD,9.99,Capital IQ
