quarterly_date,MINWGM,MINWGH
1978-01-01,2400,NA
1978-04-01,2400,NA
1978-07-01,2400,NA
1978-10-01,2400,NA
1979-01-01,2400,NA
1979-04-01,2400,NA
1979-07-01,2400,NA
1979-10-01,2400,NA
1980-01-01,3300,NA
1980-04-01,3300,NA
1980-07-01,3300,NA
1980-10-01,3300,NA
1981-01-01,3300,NA
1981-04-01,3300,NA
1981-07-01,3300,NA
1981-10-01,3300,NA
1982-01-01,3300,NA
1982-04-01,3300,NA
1982-07-01,3300,NA
1982-10-01,3300,NA
1983-01-01,5700,NA
1983-04-01,5700,NA
1983-07-01,5700,NA
1983-10-01,5700,NA
1984-01-01,6150,NA
1984-04-01,6150,NA
1984-07-01,6150,NA
1984-10-01,6150,NA
1985-01-01,6150,NA
1985-04-01,6150,NA
1985-07-01,6150,NA
1985-10-01,6150,NA
1986-01-01,6900,NA
1986-04-01,6900,NA
1986-07-01,6900,NA
1986-10-01,6900,NA
1987-01-01,6900,NA
1987-04-01,6900,NA
1987-07-01,6900,NA
1987-10-01,6900,NA
1988-01-01,8130,NA
1988-04-01,8130,NA
1988-07-01,8130,NA
1988-10-01,8130,NA
1989-01-01,8820,NA
1989-04-01,8820,NA
1989-07-01,8820,NA
1989-10-01,8820,NA
1990-01-01,9750,NA
1990-04-01,9750,NA
1990-07-01,9750,NA
1990-10-01,9750,NA
1991-01-01,11040,NA
1991-04-01,11040,NA
1991-07-01,11040,NA
1991-10-01,11040,NA
1992-01-01,12365,51.5
1992-04-01,12365,51.5
1992-07-01,12365,51.5
1992-10-01,12365,51.5
1993-01-01,13350,55.5
1993-04-01,13350,55.5
1993-07-01,13350,55.5
1993-10-01,13350,55.5
1994-01-01,14010,58.5
1994-04-01,14010,58.5
1994-07-01,14010,58.5
1994-10-01,14010,58.5
1995-01-01,14880,62
1995-04-01,14880,62
1995-07-01,14880,62
1995-10-01,14880,62
1996-01-01,15360,64
1996-04-01,15360,64
1996-07-01,15360,64
1996-10-01,15360,64
1997-01-01,15840,66
1997-04-01,15840,66
1997-07-01,15840,66
1997-10-01,15840,66
1998-01-01,15840,66
1998-04-01,15840,66
1998-07-01,15840,66
1998-10-01,15840,66
1999-01-01,15840,66
1999-04-01,15840,66
1999-07-01,15840,66
1999-10-01,15840,66
2000-01-01,15840,66
2000-04-01,15840,66
2000-07-01,15840,66
2000-10-01,15840,66
2001-01-01,15840,66
2001-04-01,15840,66
2001-07-01,15840,66
2001-10-01,15840,66
2002-01-01,15840,66
2002-04-01,15840,66
2002-07-01,15840,66
2002-10-01,15840,66
2003-01-01,15840,66
2003-04-01,15840,66
2003-07-01,15840,66
2003-10-01,15840,66
2004-01-01,15840,66
2004-04-01,15840,66
2004-07-01,15840,66
2004-10-01,15840,66
2005-01-01,15840,66
2005-04-01,15840,66
2005-07-01,15840,66
2005-10-01,15840,66
2006-01-01,15840,66
2006-04-01,15840,66
2006-07-01,15840,66
2006-10-01,15840,66
2007-01-01,15840,66
2007-04-01,15840,66
2007-07-01,17280,95
2007-10-01,17280,95
2008-01-01,17280,95
2008-04-01,17280,95
2008-07-01,17280,95
2008-10-01,17280,95
2009-01-01,17280,95
2009-04-01,17280,95
2009-07-01,17280,95
2009-10-01,17280,95
2010-01-01,17280,95
2010-04-01,17280,95
2010-07-01,17280,95
2010-10-01,17280,95
2011-01-01,17880,98
2011-04-01,17880,98
2011-07-01,17880,98
2011-10-01,17880,98
2012-01-01,18780,103
2012-04-01,18780,103
2012-07-01,18780,103
2012-10-01,18780,103
2013-01-01,18780,109
2013-04-01,19047,109
2013-07-01,19047,109
2013-10-01,19047,109
2014-01-01,19047,115
2014-04-01,19047,115
2014-07-01,19273,115
2014-10-01,19273,115
2015-01-01,19273,115
2015-04-01,19273,115
2015-07-01,20008,120
2015-10-01,20008,120
2016-01-01,20008,120
2016-04-01,20008,120
2016-07-01,20008,120
2016-10-01,20008,126
2017-01-01,21009,133
2017-04-01,21009,133
2017-07-01,21009,133
2017-10-01,21009,133
2018-01-01,22000,140
2018-04-01,22000,140
2018-07-01,22000,140
2018-10-01,22000,140
2019-01-01,23100,150
2019-04-01,23100,150
2019-07-01,23100,150
2019-10-01,23100,150
2020-01-01,23800,158
2020-04-01,23800,158
