year,WPI,WPI_pc,WPI_food,WPI_food_pc,WPI_clothing,WPI_clothing_pc,WPI_housing,WPI_housing_pc,WPI_transport,WPI_transport_pc,WPI_medical,WPI_medical_pc,WPI_educ,WPI_educ_pc,WPI_misc,WPI_misc_pc
1985,59.44,-0.17,43.22,-2.04,94.4,-0.56,67.78,0.28,90.24,0.76,52.95,3.38,47.28,4.26,61.61,-0.31
1986,59.85,0.69,44.21,2.29,91.2,-3.39,67.63,-0.22,86.96,-3.63,53.15,0.38,48.96,3.55,61.42,-0.31
1987,60.16,0.52,44.74,1.2,89.19,-2.2,67.9,0.4,85.55,-1.62,53.74,1.11,49.91,1.94,61.51,0.15
1988,60.94,1.3,45.37,1.41,91.49,2.58,68.31,0.6,84.55,-1.17,53.45,-0.54,52.79,5.77,61.79,0.46
1989,63.63,4.41,48.2,6.24,91.99,0.55,71.28,4.35,85.66,1.31,55.65,4.12,55.13,4.43,63.25,2.36
1990,66.25,4.12,49.91,3.55,92.14,0.16,75.3,5.64,87.76,2.45,57.41,3.16,59.36,7.67,64.84,2.51
1991,68.65,3.62,50.42,1.02,92.3,0.17,79.67,5.8,93.1,6.08,59.51,3.66,64.13,8.04,66.45,2.48
1992,71.72,4.47,54.63,8.35,93.8,1.63,82.45,3.49,92.04,-1.14,62.78,5.49,68.01,6.05,67.61,1.75
1993,73.83,2.94,56.31,3.08,90.51,-3.51,85.5,3.7,92.55,0.55,63.67,1.42,72.69,6.88,70.07,3.64
1994,76.86,4.1,59.94,6.45,89.78,-0.81,89.05,4.15,92.77,0.24,64.86,1.87,76.95,5.86,72.03,2.8
1995,79.67,3.66,62.52,4.3,93.08,3.68,92.17,3.5,94.97,2.37,65.89,1.59,80.74,4.93,74.3,3.15
1996,82.12,3.08,64.91,3.82,95.36,2.45,94.09,2.08,96.08,1.17,67.01,1.7,86.65,7.32,75.32,1.37
1997,82.87,0.91,64.45,-0.71,96.36,1.05,95.13,1.11,97.14,1.1,68.59,2.36,89.79,3.62,76.24,1.22
1998,84.26,1.68,67.29,4.41,91.04,-5.52,96.18,1.1,96.19,-0.98,69.21,0.9,92.7,3.24,77.43,1.56
1999,84.41,0.18,66.81,-0.71,89.99,-1.15,96.26,0.08,95.47,-0.75,71.83,3.79,94.64,2.09,78.32,1.15
2000,85.47,1.26,67.07,0.39,90.47,0.53,96.65,0.41,98.54,3.22,74.78,4.11,97.49,3.01,79.05,0.93
2001,85.46,-0.01,66.46,-0.91,88.92,-1.71,96.14,-0.53,99.63,1.11,75.71,1.24,99.56,2.12,79.24,0.24
2002,85.29,-0.2,66.35,-0.17,89.4,0.54,95,-1.19,97.43,-2.21,76.7,1.31,99.67,0.11,82.75,4.43
2003,85.05,-0.28,66.3,-0.08,90.46,1.19,94.08,-0.97,98.05,0.64,79.16,3.21,98.37,-1.3,82.33,-0.51
2004,86.42,1.61,69.1,4.22,93.31,3.15,93.88,-0.21,100.13,2.12,80.7,1.95,98.49,0.12,83.21,1.07
2005,88.42,2.31,74.11,7.25,93.18,-0.14,94.26,0.4,101.45,1.32,84.34,4.51,98.26,-0.23,83,-0.25
2006,88.95,0.6,73.63,-0.65,89.84,-3.58,95.09,0.88,103.22,1.74,87.46,3.7,98.43,0.17,86.12,3.76
2007,90.55,1.8,75.73,2.85,92.32,2.76,96.02,0.98,105.07,1.79,91.28,4.37,99.03,0.61,87.55,1.66
2008,93.74,3.52,82.21,8.56,93.24,1,97.5,1.54,107.55,2.36,93.45,2.38,100.33,1.31,88.86,1.5
2009,92.92,-0.87,81.84,-0.45,92.58,-0.71,97.17,-0.34,103.25,-4,94,0.59,98.54,-1.78,90.97,2.37
2010,93.82,0.97,82.35,0.62,94.14,1.69,97.62,0.46,106.21,2.87,94.59,0.63,98.49,-0.05,93.36,2.63
2011,95.15,1.42,84.21,2.26,96.84,2.87,98.46,0.86,107.73,1.43,96.49,2.01,99,0.52,94.54,1.26
2012,96.99,1.93,87.72,4.17,99.28,2.52,99.6,1.16,108.21,0.45,97.21,0.75,99.68,0.69,96.57,2.15
2013,97.76,0.79,88.82,1.25,99.09,-0.19,100.51,0.91,108.69,0.44,98.21,1.03,100.01,0.33,97.07,0.52
2014,98.93,1.2,92.15,3.75,100.36,1.28,101.39,0.88,107.39,-1.2,98.85,0.65,99.94,-0.07,98.36,1.33
2015,98.63,-0.3,95.03,3.13,99.8,-0.56,100.24,-1.13,101.13,-5.83,99.14,0.29,99.91,-0.03,98.63,0.27
2016,100,1.39,100,5.23,100,0.2,100,-0.24,100,-1.12,100,0.87,100,0.09,100,1.39
2017,100.62,0.62,99.63,-0.37,99.76,-0.24,100.86,0.86,101.81,1.81,101.71,1.71,100.29,0.29,101.9,1.9
2018,101.98,1.35,100.62,0.99,100.05,0.29,101.78,0.91,104.12,2.27,102.78,1.05,100.52,0.23,106.73,4.74
2019,102.55,0.56,102.54,1.91,99.31,-0.74,102.42,0.63,102.61,-1.45,103.65,0.85,101.27,0.75,107.35,0.58
2020,102.31,-0.23,103.23,0.67,100.52,1.22,102.71,0.28,98.64,-3.87,104.48,0.8,100.29,-0.97,108.4,0.98
