date,ADRESERVE$,MON$,M2,AFR$,year,ADB$,BONDTRADE,CHINAGDP,CF,CF$,CO,CO$,CPI,CPIZF,PIPC,PIG,PIBF,PCG,PI,PX,PM,DEP,DEPOSIT,EROC,EJAP,FFR,FA$,IBF,IBF$,IG,IG$,IPC,IPC$,CG,CG$,FIA,FIA$,GDP.x,GDP$,I,I$,J,J$,M,M$.x,TD,X,X$,GNP,GNP$,GDPSZ,GNPSZ,PGNP,PJ,PFIA,GDPMFG,GOVSUB$,GOVSURRP,IGDPJPN,IGDPUSA,IPXJAP,IPXUSA,IR,IRC,RMIBON,IRCUS,IRI,K90,NE.x,NF,NU,LOAN,TAXD$,TAXID$,PCF,PCO,NE.y,GDP.y,PDT,PGDP,POIL,POP,GDPPERCA,GNPPERCA,PSTOCK,PWM,KGDEBT$,RKGDBT,tariff,M$.y,RTAXCUM,SALES,STOCKTRADE,TECH,TISUB$,TMUIA$$,TB$,ULC,V90,WPI,WPX
1984-01-31,23.25,6657,28.24,12460,1984,NA,NA,NA,130878,57178,313095,240725,63.66,61.91,82.19,53.39,69.37,51.54,67.22,122.41,96.49,78728,17425,40.203,233.94,9.56,539,94728,65717,40325,21529,38407,31566,190013,97927,14735,8685,728835,562116,176748,118812,-24385,-12840,247486,238803,807445,244350,299117,743570,570801,NA,NA,76.76493134472881,52.65532089399221,58.94129623345775,195770,9849272,9689664,56.62715945,21.443627557594283,NA,85.9,7.25,8.5,8.1,8.9,NA,NA,7376,7552,2.34,NA,NA,NA,43.69,76.88560979894281,7287,728835,100.01852614244545,77.13,NA,18816.526,NA,NA,NA,27.259999999999998,NA,NA,17284.23,238803,7.237861333400334,247843628,NA,0.558333874,NA,82.76,30049,NA,59265852.4477881,98.04,NA
1984-01-31,23.25,6657,28.24,12460,1984,NA,NA,NA,130878,57178,313095,240725,63.66,61.91,82.19,53.39,69.37,51.54,67.22,122.41,96.49,78728,17425,40.203,233.94,9.56,539,94728,65717,40325,21529,38407,31566,190013,97927,14735,8685,728835,562116,176748,118812,-24385,-12840,247486,238803,807445,244350,299117,743570,570801,NA,NA,76.76493134472881,52.65532089399221,58.94129623345775,195770,9849272,9689664,56.62715945,21.443627557594283,NA,85.9,7.25,8.25,5.04,8.9,NA,NA,7376,7552,2.34,NA,NA,NA,43.69,76.88560979894281,7287,728835,100.01852614244545,77.13,NA,18816.526,NA,NA,NA,27.259999999999998,NA,NA,17284.23,238803,7.237861333400334,247843628,NA,0.558333874,NA,82.76,30049,NA,59265852.4477881,98.04,NA
1984-02-29,12.91,6041,25.93,12641,1984,NA,NA,NA,NA,NA,NA,NA,63.89,62.23,NA,NA,NA,NA,NA,NA,NA,NA,18053,40.184,233.68,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9849272,9689664,NA,NA,NA,NA,7.25,8.5,8.45,9.09,NA,NA,7271,7477,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,193398737,NA,0.558333874,NA,82.76,9112,NA,63158790.44990011,98.09,NA
1984-03-31,9.02,6021,25.05,12910,1984,NA,NA,NA,NA,NA,NA,NA,63.81,62.37,NA,NA,NA,NA,NA,NA,NA,NA,18302,40.024,225.4,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9849272,9689664,NA,NA,NA,NA,7.25,8.5,7.23,9.52,NA,NA,7214,7369,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.09,NA,NA,NA,NA,NA,253442078,NA,0.558333874,NA,82.76,27858,NA,64775375.90672386,98.52,NA
1984-04-30,17.88,5939,24.44,13404,1984,NA,NA,NA,124432,55634,295576,228225,63.9,62.48,82.3,53.26,68.13,51.55,66.58,122.52,97.22,80238,18590,39.735,224.95,10.29,765,115631,78783,54498,29025,53425,43967,189115,97488,1104,686,799706,619704,227952,151775,-7071,10117,284989,277062,865806,288558,353527,800810,620390,0.09723874402299561,0.07697997498554272,77.47031130979883,-143.07735822373073,62.13768115942029,220308,9849272,9689664,57.48473567,22.0008194611839,NA,87.1,7.25,8.5,6.51,9.69,NA,NA,7151,7297,2.01,NA,NA,NA,44.71,77.2136438682437,7220,799706,110.76260387811634,77.49,NA,18872.694,NA,NA,NA,24.16,NA,NA,17424.498,277062,6.2890248392056645,252867853,NA,0.558333874,NA,82.76,31019,NA,63457334.32362045,98.54,NA
1984-05-31,18.94,6149,24.16,13516,1984,NA,NA,NA,NA,NA,NA,NA,64.1,62.79,NA,NA,NA,NA,NA,NA,NA,NA,18901,39.669,230.66,10.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9849272,9689664,NA,NA,NA,NA,7,8.25,5.05,9.83,NA,NA,7202,7357,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.74,NA,NA,NA,NA,NA,268562025,NA,0.558333874,NA,82.76,33832,NA,68494985.08433853,98.89,NA
1984-06-30,16.17,6321,23.4,13765,1984,NA,NA,NA,NA,NA,NA,NA,64.15,62.64,NA,NA,NA,NA,NA,NA,NA,NA,19333,39.784,233.21,11.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9849272,9689664,NA,NA,NA,NA,7,8.25,5.9,9.87,NA,NA,7308,7474,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.27,NA,NA,NA,NA,NA,260685221,NA,0.558333874,NA,82.76,36566,NA,66320361.680160224,99.09,NA
1984-07-31,15.36,6214,22.88,14190,1984,NA,NA,NA,130930,58907,316170,245167,64.53,62.68,79.43,52.04,67,52.88,65.07,121.01,93.95,81894,19707,39.424,242.84,11.23,866,117981,79044,42053,21883,35246,27996,189021,99949,20131,12089,806316,620474,198126,128923,22503,28805,306668,288103,912125,286621,346826,826447,632563,0.00826553758506251,0.03201383599105905,76.54005641015092,128.0051548682398,60.0516616164125,230649,9849272,9689664,58.18723801,22.41042110782104,NA,85.1,7,8.25,6.78,10.12,NA,NA,7416,7607,2.52,NA,NA,NA,44.99,77.542777619635,7346,806316,109.76259188674108,76.95,NA,18939.896,NA,NA,NA,24.6,NA,NA,16915.667,288103,5.871395646695801,259216014,NA,0.558333874,NA,82.76,34118,NA,65184985.02806602,98.64,NA
1984-08-31,13.99,6329,22.91,14382,1984,NA,NA,NA,NA,NA,NA,NA,64.54,62.64,NA,NA,NA,NA,NA,NA,NA,NA,20229,39.043,242.3,11.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9849272,9689664,NA,NA,NA,NA,7,8.25,5.47,10.47,NA,NA,7330,7558,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.62,NA,NA,NA,NA,NA,260935395,NA,0.558333874,NA,82.76,28338,NA,69835176.14727166,98.11,NA
1984-09-30,14.75,6342,22.72,14571,1984,NA,NA,NA,NA,NA,NA,NA,64.91,62.67,NA,NA,NA,NA,NA,NA,NA,NA,20356,39.1,245.23,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9849272,9689664,NA,NA,NA,NA,7,8.25,6.7,10.37,NA,NA,7293,7521,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.57,NA,NA,NA,NA,NA,241115180,NA,0.558333874,NA,82.76,32244,NA,68400760.86060452,97.93,NA
